,geoapi_id,request_id,lat,long,accuracy,number,district,public_place
22,TomTom,10002,-23.93855,-47.03896,11.9449415207,20,BARNABES,RUA DOS LAGOS
23,Google,10002,-23.939245,-47.03941289999999,,20,BARNABES,RUA DOS LAGOS
24,MapBox,10003,-23.9583533,-47.126945,0.667778,100,BARNABES,ESTRADA CACHOEIRA DO FRANCA
25,OpenRouteService,10003,-23.938906,-47.024205,0.6,100,BARNABES,ESTRADA CACHOEIRA DO FRANCA
26,TomTom,10003,-23.95505,-47.11987,12.5195684433,100,BARNABES,ESTRADA CACHOEIRA DO FRANCA
27,Google,10003,-23.9552935,-47.1204002,,100,BARNABES,ESTRADA CACHOEIRA DO FRANCA
28,OpenRouteService,10004,-23.938906,-47.024205,0.6,       195,JUQUITIBA,CACHOEIRA DO FRANCA
29,MapBox,10004,-23.9583533,-47.126945,0.658254,       195,JUQUITIBA,CACHOEIRA DO FRANCA
30,Google,10004,-23.9549522,-47.1203293,,       195,JUQUITIBA,CACHOEIRA DO FRANCA
31,TomTom,10005,-23.9381,-47.06996,14.0621442795,400,JUQUITIBA,RUA OSWALDO BARBOSA GUIMARAES
32,Google,10005,-23.9393242,-47.0711697,,400,JUQUITIBA,RUA OSWALDO BARBOSA GUIMARAES
33,MapBox,10005,-23.946012,-47.07258,0.795556,400,JUQUITIBA,RUA OSWALDO BARBOSA GUIMARAES
34,OpenRouteService,10005,-23.936529,-47.068632,0.8,400,JUQUITIBA,RUA OSWALDO BARBOSA GUIMARAES
35,OpenRouteService,10006,-23.938906,-47.024205,0.6,10,JUQUITIBA,RUA 28 DE MARCO
36,TomTom,10006,-23.93145,-47.07401,12.5195684433,10,JUQUITIBA,RUA 28 DE MARCO
37,Google,10006,-23.9306546,-47.07217869999999,,10,JUQUITIBA,RUA 28 DE MARCO
38,MapBox,10006,-21.514296,-48.394475,0.693704,10,JUQUITIBA,RUA 28 DE MARCO
39,TomTom,10007,-23.92985,-47.07143,14.2339057922,111,JUQUITIBA,AVENIDA 31 DE MARCO
40,Google,10007,-23.929852,-47.0714329,,111,JUQUITIBA,AVENIDA 31 DE MARCO
41,MapBox,10007,-22.741855,-47.646118,0.693704,111,JUQUITIBA,AVENIDA 31 DE MARCO
42,OpenRouteService,10007,-23.938906,-47.024205,0.6,111,JUQUITIBA,AVENIDA 31 DE MARCO
43,Google,10008,-23.9303395,-47.0708603,,        31,JUQUITIBA,TRINTA E UM DE MARÇO
44,MapBox,10008,-23.93031,-47.070877,0.801728,        31,JUQUITIBA,TRINTA E UM DE MARÇO
45,OpenRouteService,10008,-23.938906,-47.024205,0.6,        31,JUQUITIBA,TRINTA E UM DE MARÇO
46,TomTom,10009,-23.93283,-47.06925,15.7638959885,112,JUQUITIBA,AVENIDA JUSCELINO KUBTSCHEK DE OLIVEIRA
47,MapBox,10009,-20.265327,-50.542019,0.706049,112,JUQUITIBA,AVENIDA JUSCELINO KUBTSCHEK DE OLIVEIRA
48,OpenRouteService,10009,-23.938906,-47.024205,0.6,112,JUQUITIBA,AVENIDA JUSCELINO KUBTSCHEK DE OLIVEIRA
49,Google,10009,-23.932132,-47.0694159,,112,JUQUITIBA,AVENIDA JUSCELINO KUBTSCHEK DE OLIVEIRA
50,OpenRouteService,10010,-23.938906,-47.024205,0.6,165,JUQUITIBA,AVENIDA NOSSA SRA APARECIDA
51,MapBox,10010,-23.928005,-47.0697192,0.74,165,JUQUITIBA,AVENIDA NOSSA SRA APARECIDA
52,TomTom,10010,-23.92777,-47.07039,14.0621442795,165,JUQUITIBA,AVENIDA NOSSA SRA APARECIDA
53,Google,10010,-23.9272486,-47.0704925,,165,JUQUITIBA,AVENIDA NOSSA SRA APARECIDA
54,MapBox,10011,-23.932295,-47.067551,0.795556,80,JUQUITIBA,RUA JORGE VICTOR VIEIRA
55,Google,10011,-23.9316144,-47.0685832,,80,JUQUITIBA,RUA JORGE VICTOR VIEIRA
56,TomTom,10011,-23.93127,-47.06944,14.0621442795,80,JUQUITIBA,RUA JORGE VICTOR VIEIRA
57,OpenRouteService,10011,-23.930925,-47.070036,0.8,80,JUQUITIBA,RUA JORGE VICTOR VIEIRA
58,OpenRouteService,10012,-23.938906,-47.024205,0.6,200,JUQUITIBA,RUA ARMANDO SÃO DE OLIVEIRA
59,MapBox,10012,-22.207281,-49.65444,0.706049,200,JUQUITIBA,RUA ARMANDO SÃO DE OLIVEIRA
60,Google,10012,-23.9302514,-47.0672077,,200,JUQUITIBA,RUA ARMANDO SÃO DE OLIVEIRA
61,TomTom,10012,-23.93076,-47.06746,15.6171998978,200,JUQUITIBA,RUA ARMANDO SÃO DE OLIVEIRA
62,OpenRouteService,10013,-23.938906,-47.024205,0.6,102,JUQUITIBA,RUA BRIGADEIRO JOSE VICENTE FARIA
63,TomTom,10013,-23.48215,-46.35461,14.1869745255,102,JUQUITIBA,RUA BRIGADEIRO JOSE VICENTE FARIA
64,MapBox,10013,-20.334225,-47.799647,0.706049,102,JUQUITIBA,RUA BRIGADEIRO JOSE VICENTE FARIA
65,Google,10013,-23.9303533,-47.0707964,,102,JUQUITIBA,RUA BRIGADEIRO JOSE VICENTE FARIA
66,OpenRouteService,10014,-23.938906,-47.024205,0.6,27,JUQUITIBA,BRIGADEIRO FARIA LIMA
67,TomTom,10014,-21.20107,-50.47175,10.148680687,27,JUQUITIBA,BRIGADEIRO FARIA LIMA
68,MapBox,10014,-23.935628,-47.065513,0.787619,27,JUQUITIBA,BRIGADEIRO FARIA LIMA
69,Google,10014,-23.9349186,-47.0648027,,27,JUQUITIBA,BRIGADEIRO FARIA LIMA
70,MapBox,10015,-23.935649,-47.065527,0.795556,102,JUQUITIBA,RUA BRIGADEIRO FARIA LIMA
71,TomTom,10015,-22.85865,-47.21756,12.3621339798,102,JUQUITIBA,RUA BRIGADEIRO FARIA LIMA
72,Google,10015,-23.9356483,-47.0651829,,102,JUQUITIBA,RUA BRIGADEIRO FARIA LIMA
73,OpenRouteService,10015,-23.935182,-47.065234,0.8,102,JUQUITIBA,RUA BRIGADEIRO FARIA LIMA
74,TomTom,10016,-23.93016,-47.07109,13.6594343185,1811,JUQUITIBA,AVENIDA 31 DE MARCO
75,Google,10016,-23.9174307,-47.082275,,1811,JUQUITIBA,AVENIDA 31 DE MARCO
76,OpenRouteService,10016,-23.938906,-47.024205,0.6,1811,JUQUITIBA,AVENIDA 31 DE MARCO
77,MapBox,10016,-22.751446,-47.644024,0.693704,1811,JUQUITIBA,AVENIDA 31 DE MARCO
78,OpenRouteService,10017,-23.938906,-47.024205,0.6,50,JUQUITIBA,EST GREGORIO P OLIVEIRA
79,MapBox,10017,-23.385109,-47.939639,0.50284,50,JUQUITIBA,EST GREGORIO P OLIVEIRA
80,Google,10017,-23.9303533,-47.0707964,,50,JUQUITIBA,EST GREGORIO P OLIVEIRA
81,TomTom,10017,-11.83466,-61.32158,9.5416698456,50,JUQUITIBA,EST GREGORIO P OLIVEIRA
82,OpenRouteService,10018,-23.938906,-47.024205,0.6,3500,JUQUITIBA,RUA AMELIA C F GUIMARAES
83,Google,10018,-23.9425634,-47.0500512,,3500,JUQUITIBA,RUA AMELIA C F GUIMARAES
84,MapBox,10018,-23.8099025,-45.4143631,0.508519,3500,JUQUITIBA,RUA AMELIA C F GUIMARAES
85,TomTom,10018,-23.94258,-47.05002,14.4698095322,3500,JUQUITIBA,RUA AMELIA C F GUIMARAES
86,MapBox,10019,-23.1086117,-46.4539833,0.596278,7000,JUQUITIBA,ESTRADA SP 57
87,TomTom,10019,-17.72405,-48.61334,8.282207489,7000,JUQUITIBA,ESTRADA SP 57
88,Google,10019,-23.9664262,-46.993748,,7000,JUQUITIBA,ESTRADA SP 57
89,OpenRouteService,10019,-23.938906,-47.024205,0.6,7000,JUQUITIBA,ESTRADA SP 57
90,TomTom,10020,-23.92941,-47.00806,11.9449415207,196,JUQUITIBA,RUA DAS VIOLETAS
91,MapBox,10020,-23.929664,-47.009071,0.787619,196,JUQUITIBA,RUA DAS VIOLETAS
92,Google,10020,-23.9295845,-47.0084744,,196,JUQUITIBA,RUA DAS VIOLETAS
93,OpenRouteService,10020,-23.929777,-47.009157,0.8,196,JUQUITIBA,RUA DAS VIOLETAS
94,OpenRouteService,10021,-23.938906,-47.024205,0.6,44,JUQUITIBA,RUA DAS HORTENCIAS
95,TomTom,10021,-23.929,-47.00922,11.9449415207,44,JUQUITIBA,RUA DAS HORTENCIAS
96,Google,10021,-23.9290534,-47.0092964,,44,JUQUITIBA,RUA DAS HORTENCIAS
97,MapBox,10021,-23.9214028,-46.9985447,0.78369,44,JUQUITIBA,RUA DAS HORTENCIAS
98,Google,10022,-23.9219075,-46.9935116,,50,JUQUITIBA,RUA ANTONIO OLIV CAMARGO
99,TomTom,10022,-23.92712,-46.99537,11.6530742645,50,JUQUITIBA,RUA ANTONIO OLIV CAMARGO
100,OpenRouteService,10022,-23.938906,-47.024205,0.6,50,JUQUITIBA,RUA ANTONIO OLIV CAMARGO
101,MapBox,10022,-22.68304,-50.709516,0.582593,50,JUQUITIBA,RUA ANTONIO OLIV CAMARGO
102,OpenRouteService,10023,-23.938906,-47.024205,0.6,125,JUQUITIBA,BAIRRO 116 KM 317
103,MapBox,10023,-23.91736,-46.989827,0.684444,125,JUQUITIBA,BAIRRO 116 KM 317
104,TomTom,10023,-22.20151,-48.88153,7.3257107735,125,JUQUITIBA,BAIRRO 116 KM 317
105,Google,10023,-23.7977382,-46.9146359,,125,JUQUITIBA,BAIRRO 116 KM 317
106,Google,10024,-23.9303533,-47.0707964,,S/N,JUQUITIBA,RUA JOAO FRANCO DE CAMARGO
107,MapBox,10024,-23.9583816,-46.9892418,0.717778,S/N,JUQUITIBA,RUA JOAO FRANCO DE CAMARGO
108,TomTom,10024,-23.13509,-46.46428,14.442440033,S/N,JUQUITIBA,RUA JOAO FRANCO DE CAMARGO
109,OpenRouteService,10024,-23.953439,-46.981677,0.8,S/N,JUQUITIBA,RUA JOAO FRANCO DE CAMARGO
110,MapBox,10025,-22.810117,-50.07313,0.607284,550,JUQUITIBA,RUA JOAO PEREIRA DONA SILVA
111,OpenRouteService,10025,-23.938906,-47.024205,0.6,550,JUQUITIBA,RUA JOAO PEREIRA DONA SILVA
112,Google,10025,-23.8971503,-46.9891458,,550,JUQUITIBA,RUA JOAO PEREIRA DONA SILVA
113,TomTom,10025,-23.89696,-46.98862,12.2520418167,550,JUQUITIBA,RUA JOAO PEREIRA DONA SILVA
114,MapBox,10026,-23.884541,-46.976744,0.582593,195,SAO LOURENCO DA SERRA,RUA SANTA CRUZ
115,OpenRouteService,10026,-23.884538,-46.976746,1.0,195,SAO LOURENCO DA SERRA,RUA SANTA CRUZ
116,TomTom,10026,-23.88274,-46.97482,15.8298406601,195,SAO LOURENCO DA SERRA,RUA SANTA CRUZ
117,Google,10026,-23.885031,-46.9764825,,195,SAO LOURENCO DA SERRA,RUA SANTA CRUZ
118,MapBox,10027,-23.8557005,-46.9472341,0.582593,386,SAO LOURENCO DA SERRA,RUA JOAO ALFREDO DE MORAES
119,OpenRouteService,10027,-20.489613,-47.42802,1.0,386,SAO LOURENCO DA SERRA,RUA JOAO ALFREDO DE MORAES
120,Google,10027,-23.8552629,-46.9457041,,386,SAO LOURENCO DA SERRA,RUA JOAO ALFREDO DE MORAES
121,TomTom,10027,-23.85795,-46.94817,17.7674598694,386,SAO LOURENCO DA SERRA,RUA JOAO ALFREDO DE MORAES
122,Google,10028,-23.8567889,-46.9475238,,300,SAO LOURENCO DA SERRA,RUA JOAO ALFREDO DE MORAES
123,OpenRouteService,10028,-20.489613,-47.42802,1.0,300,SAO LOURENCO DA SERRA,RUA JOAO ALFREDO DE MORAES
124,TomTom,10028,-23.85817,-46.94845,17.7674598694,300,SAO LOURENCO DA SERRA,RUA JOAO ALFREDO DE MORAES
125,MapBox,10028,-23.8557005,-46.9472341,0.582593,300,SAO LOURENCO DA SERRA,RUA JOAO ALFREDO DE MORAES
126,TomTom,10029,-23.84396,-47.06518,12.0224943161,S/N,JUQUITIBA,ESTRADA DAS LARANJEIRAS
127,OpenRouteService,10029,-23.841233,-47.035393,0.8,S/N,JUQUITIBA,ESTRADA DAS LARANJEIRAS
128,MapBox,10029,-23.9246958,-47.0887611,0.617525,S/N,JUQUITIBA,ESTRADA DAS LARANJEIRAS
129,Google,10029,-23.8454642,-47.0521094,,S/N,JUQUITIBA,ESTRADA DAS LARANJEIRAS
130,OpenRouteService,10030,-23.626201,-46.938771,0.6,201,CAUCAIA DO ALTO,TUPI DONA MATA
131,TomTom,10030,-23.66294,-47.07409,9.4366521835,201,CAUCAIA DO ALTO,TUPI DONA MATA
132,Google,10030,-23.6631695,-47.074156,,201,CAUCAIA DO ALTO,TUPI DONA MATA
133,MapBox,10030,-23.5740631,-46.8824092,0.645864,201,CAUCAIA DO ALTO,TUPI DONA MATA
134,TomTom,10031,-23.6627,-47.07391,11.7734861374,S/N,CAUCAIA DO ALTO,RUA TUPI DONA MATA
135,OpenRouteService,10031,-23.626201,-46.938771,0.6,S/N,CAUCAIA DO ALTO,RUA TUPI DONA MATA
136,MapBox,10031,-23.5984783,-46.9059212,0.604198,S/N,CAUCAIA DO ALTO,RUA TUPI DONA MATA
137,Google,10031,-23.6627294,-47.0739557,,S/N,CAUCAIA DO ALTO,RUA TUPI DONA MATA
138,TomTom,10032,-21.19883,-47.81855,10.2201213837,1,CAUCAIA DO ALTO,RUA MARIA QUITERIA
139,MapBox,10032,-22.227905,-50.886776,0.677831,1,CAUCAIA DO ALTO,RUA MARIA QUITERIA
140,Google,10032,-23.58293,-46.81198,,1,CAUCAIA DO ALTO,RUA MARIA QUITERIA
141,OpenRouteService,10032,-23.626201,-46.938771,0.6,1,CAUCAIA DO ALTO,RUA MARIA QUITERIA
142,Google,10033,-23.7346197,-47.0250059,,S/N,CAUCAIA DO ALTO,EST CAPELINHA
143,MapBox,10033,-23.7357163,-47.024521,0.650409,S/N,CAUCAIA DO ALTO,EST CAPELINHA
144,TomTom,10033,-23.58775,-46.82509,9.117600441,S/N,CAUCAIA DO ALTO,EST CAPELINHA
145,OpenRouteService,10033,-23.626201,-46.938771,0.6,S/N,CAUCAIA DO ALTO,EST CAPELINHA
146,Google,10034,-23.7499215,-47.015147,,S/N,CAUCAIA DO ALTO,ESTRADA DOS NEVES
147,MapBox,10034,-23.753115,-47.0398533,0.587222,S/N,CAUCAIA DO ALTO,ESTRADA DOS NEVES
148,TomTom,10034,-23.74914,-47.02153,12.0224943161,S/N,CAUCAIA DO ALTO,ESTRADA DOS NEVES
149,OpenRouteService,10034,-23.626201,-46.938771,0.6,S/N,CAUCAIA DO ALTO,ESTRADA DOS NEVES
150,TomTom,10035,-23.81792,-46.99344,14.3216438293,58,SAO LOURENCO DA SERRA,ESTRADA DAS LARANJEIRAS
151,OpenRouteService,10035,-22.154376,-48.428808,0.3,58,SAO LOURENCO DA SERRA,ESTRADA DAS LARANJEIRAS
152,Google,10035,-23.8405723,-47.037392,,58,SAO LOURENCO DA SERRA,ESTRADA DAS LARANJEIRAS
153,MapBox,10035,-23.182344,-46.759025,0.582593,58,SAO LOURENCO DA SERRA,ESTRADA DAS LARANJEIRAS
154,OpenRouteService,10036,-23.832843,-46.965093,1.0,1100,SAO LOURENCO DA SERRA,ESTRADA MARIA SOARES PEREIRA
155,TomTom,10036,-23.83228,-46.96534,16.4955196381,1100,SAO LOURENCO DA SERRA,ESTRADA MARIA SOARES PEREIRA
156,Google,10036,-23.8488556,-46.9570999,,1100,SAO LOURENCO DA SERRA,ESTRADA MARIA SOARES PEREIRA
157,MapBox,10036,-23.8161653,-46.9727471,0.562391,1100,SAO LOURENCO DA SERRA,ESTRADA MARIA SOARES PEREIRA
158,TomTom,10037,-23.85324,-46.94669,18.6279888153,09,SAO LOURENCO DA SERRA,RUA HONORIO AUGUSTO DE CAMARGO
159,OpenRouteService,10037,-22.154376,-48.428808,0.3,09,SAO LOURENCO DA SERRA,RUA HONORIO AUGUSTO DE CAMARGO
160,Google,10037,-23.8541752,-46.9471776,,09,SAO LOURENCO DA SERRA,RUA HONORIO AUGUSTO DE CAMARGO
161,MapBox,10037,-23.8516937,-46.943162,0.508519,09,SAO LOURENCO DA SERRA,RUA HONORIO AUGUSTO DE CAMARGO
162,TomTom,10038,-23.85427,-46.94268,16.1579875946,60,SAO LOURENCO DA SERRA,RUA DOUTOR ROBERTO FADLO DAHER
163,Google,10038,-23.8539971,-46.9419055,,60,SAO LOURENCO DA SERRA,RUA DOUTOR ROBERTO FADLO DAHER
164,MapBox,10038,-23.8537392,-46.9415357,0.508519,60,SAO LOURENCO DA SERRA,RUA DOUTOR ROBERTO FADLO DAHER
165,OpenRouteService,10038,-22.154376,-48.428808,0.3,60,SAO LOURENCO DA SERRA,RUA DOUTOR ROBERTO FADLO DAHER
166,OpenRouteService,10039,-20.489613,-47.42802,1.0,144,SAO LOURENCO DA SERRA,RUA DOUTOR MARIO PRADO DE SOUZA
167,MapBox,10039,-23.854689,-46.942074,0.633875,144,SAO LOURENCO DA SERRA,RUA DOUTOR MARIO PRADO DE SOUZA
168,TomTom,10039,-23.85473,-46.94209,17.7819252014,144,SAO LOURENCO DA SERRA,RUA DOUTOR MARIO PRADO DE SOUZA
169,Google,10039,-23.8538168,-46.943434,,144,SAO LOURENCO DA SERRA,RUA DOUTOR MARIO PRADO DE SOUZA
170,MapBox,10040,-23.852731,-46.943859,0.602795,35,SAO LOURENCO DA SERRA,PRACA DEZ DE AGOSTO
171,Google,10040,-23.8521263,-46.9433448,,35,SAO LOURENCO DA SERRA,PRACA DEZ DE AGOSTO
172,TomTom,10040,-23.85122,-46.94335,14.2564277649,35,SAO LOURENCO DA SERRA,PRACA DEZ DE AGOSTO
173,OpenRouteService,10040,-22.154376,-48.428808,0.3,35,SAO LOURENCO DA SERRA,PRACA DEZ DE AGOSTO
174,Google,10041,-23.8823259,-46.9749499,,131,SAO LOURENCO DA SERRA,RUA ELVIS ANDRE DE CAMPOS
175,TomTom,10041,-23.53156,-47.14314,13.3587369919,131,SAO LOURENCO DA SERRA,RUA ELVIS ANDRE DE CAMPOS
176,OpenRouteService,10041,-23.882817,-46.975602,0.8,131,SAO LOURENCO DA SERRA,RUA ELVIS ANDRE DE CAMPOS
177,MapBox,10041,-23.883487,-46.9761671,0.582593,131,SAO LOURENCO DA SERRA,RUA ELVIS ANDRE DE CAMPOS
178,OpenRouteService,10042,-22.115547,-45.071423,1.0,270,SAO LOURENCO DA SERRA,RUA DAS PRIMAVERAS
179,MapBox,10042,-22.339547,-50.395559,0.582593,270,SAO LOURENCO DA SERRA,RUA DAS PRIMAVERAS
180,Google,10042,-23.8178592,-46.92992659999999,,270,SAO LOURENCO DA SERRA,RUA DAS PRIMAVERAS
181,TomTom,10042,-23.81757,-46.92971,15.8298416138,270,SAO LOURENCO DA SERRA,RUA DAS PRIMAVERAS
182,MapBox,10043,-22.5638958,-44.9368047,0.493704,660,SAO LOURENCO DA SERRA,RUA ANTONIO DESPEZZIO
183,TomTom,10043,-23.82724,-46.92796,12.1517305374,660,SAO LOURENCO DA SERRA,RUA ANTONIO DESPEZZIO
184,Google,10043,-23.8540264,-46.9438937,,660,SAO LOURENCO DA SERRA,RUA ANTONIO DESPEZZIO
185,OpenRouteService,10043,-23.505431,-47.60243,1.0,660,SAO LOURENCO DA SERRA,RUA ANTONIO DESPEZZIO
186,OpenRouteService,10044,-23.620795,-46.786919,0.6,2,SAO LOURENCO DA SERRA,RUA DONA COMUNIDADE
187,Google,10044,-21.2922457,-50.3428431,,2,SAO LOURENCO DA SERRA,RUA DONA COMUNIDADE
188,TomTom,10044,-23.81765,-46.92991,12.9713935852,2,SAO LOURENCO DA SERRA,RUA DONA COMUNIDADE
189,MapBox,10044,-22.5638958,-44.9368047,0.493704,2,SAO LOURENCO DA SERRA,RUA DONA COMUNIDADE
190,TomTom,10045,-23.8052,-46.92296,16.4102230072,SN,SAO LOURENCO DA SERRA,ESTRADA FRANCISCO CASTRO NEVES BR116
191,Google,10045,-23.7977382,-46.9146359,,SN,SAO LOURENCO DA SERRA,ESTRADA FRANCISCO CASTRO NEVES BR116
192,OpenRouteService,10045,-23.620795,-46.786919,0.6,SN,SAO LOURENCO DA SERRA,ESTRADA FRANCISCO CASTRO NEVES BR116
193,TomTom,10046,-23.71492,-47.05781,11.538482666,1670,CAUCAIA DO ALTO,ESTRADA DOS LUSITANOS
194,OpenRouteService,10046,-23.626201,-46.938771,0.6,1670,CAUCAIA DO ALTO,ESTRADA DOS LUSITANOS
195,MapBox,10046,-23.7149172,-47.0578273,0.724127,1670,CAUCAIA DO ALTO,ESTRADA DOS LUSITANOS
196,Google,10046,-23.7138559,-47.0591193,,1670,CAUCAIA DO ALTO,ESTRADA DOS LUSITANOS
197,OpenRouteService,10047,-23.626201,-46.938771,0.6,300,CAUCAIA DO ALTO,ESTRADA SANT ANNA
198,Google,10047,-23.6986661,-47.0334268,,300,CAUCAIA DO ALTO,ESTRADA SANT ANNA
199,MapBox,10047,-21.788655,-48.161003,0.536657,300,CAUCAIA DO ALTO,ESTRADA SANT ANNA
200,TomTom,10047,-23.48371,-46.7139,9.6964263916,300,CAUCAIA DO ALTO,ESTRADA SANT ANNA
201,OpenRouteService,10048,-23.626201,-46.938771,0.6,40,CAUCAIA DO ALTO,AVENIDA TAQUARACU
202,Google,10048,-23.7025503,-47.0259279,,40,CAUCAIA DO ALTO,AVENIDA TAQUARACU
203,TomTom,10048,-23.70261,-47.02601,9.7862281799,40,CAUCAIA DO ALTO,AVENIDA TAQUARACU
204,MapBox,10048,-23.702641,-47.026814,0.777037,40,CAUCAIA DO ALTO,AVENIDA TAQUARACU
205,Google,10049,-23.6619258,-47.0488296,,107,CAUCAIA DO ALTO,RUA ANTONIO VAZ PIRES
206,MapBox,10049,-20.879994,-48.296658,0.638148,107,CAUCAIA DO ALTO,RUA ANTONIO VAZ PIRES
207,OpenRouteService,10049,-23.626201,-46.938771,0.6,107,CAUCAIA DO ALTO,RUA ANTONIO VAZ PIRES
208,TomTom,10049,-23.66187,-47.0487,11.8743286133,107,CAUCAIA DO ALTO,RUA ANTONIO VAZ PIRES
209,TomTom,10050,-23.26076,-47.31586,7.9430279732,76,CAUCAIA DO ALTO,RUA EXISTENTE
210,MapBox,10050,-23.617204,-46.9315982,0.702963,76,CAUCAIA DO ALTO,RUA EXISTENTE
211,Google,10050,-23.6870059,-47.0318292,,76,CAUCAIA DO ALTO,RUA EXISTENTE
212,OpenRouteService,10050,-23.620189,-46.931515,0.8,76,CAUCAIA DO ALTO,RUA EXISTENTE
213,OpenRouteService,10051,-23.626201,-46.938771,0.6,2930,CAUCAIA DO ALTO,ESTRADA DONA AGUA ESPRAIADA
214,MapBox,10051,-23.6780428,-47.0359475,0.578889,2930,CAUCAIA DO ALTO,ESTRADA DONA AGUA ESPRAIADA
215,Google,10051,-23.6613337,-47.0477829,,2930,CAUCAIA DO ALTO,ESTRADA DONA AGUA ESPRAIADA
216,TomTom,10051,-23.66131,-47.04769,11.6111783981,2930,CAUCAIA DO ALTO,ESTRADA DONA AGUA ESPRAIADA
217,MapBox,10052,-23.6857174,-47.0313857,0.74,73,COTIA,RUA JOSEFINA PIRES NUNES
218,TomTom,10052,-23.68585,-47.03109,14.0621442795,73,COTIA,RUA JOSEFINA PIRES NUNES
219,Google,10052,-23.6858675,-47.0311463,,73,COTIA,RUA JOSEFINA PIRES NUNES
220,OpenRouteService,10052,-23.626201,-46.938771,0.6,73,COTIA,RUA JOSEFINA PIRES NUNES
221,TomTom,10053,-23.68969,-47.02678,10.6074361801,730,CAUCAIA DO ALTO,AVENIDA LUIS SACRAMENTO
222,MapBox,10053,-23.691348,-47.027824,0.780344,730,CAUCAIA DO ALTO,AVENIDA LUIS SACRAMENTO
223,Google,10053,-23.6902811,-47.0267595,,730,CAUCAIA DO ALTO,AVENIDA LUIS SACRAMENTO
224,OpenRouteService,10053,-23.626201,-46.938771,0.6,730,CAUCAIA DO ALTO,AVENIDA LUIS SACRAMENTO
225,Google,10054,-23.6906196,-47.0258359,,S/N,CAUCAIA DO ALTO,RUA TERUO TOMITA
226,OpenRouteService,10054,-23.626201,-46.938771,0.6,S/N,CAUCAIA DO ALTO,RUA TERUO TOMITA
227,MapBox,10054,-23.6906336,-47.0263882032338,0.684444,S/N,CAUCAIA DO ALTO,RUA TERUO TOMITA
228,TomTom,10054,-23.6044,-46.92981,9.4554023743,S/N,CAUCAIA DO ALTO,RUA TERUO TOMITA
229,Google,10055,-23.6059252,-46.926502,,45,CAUCAIA DO ALTO,ASIA
230,MapBox,10055,-23.6877121,-47.0240544,0.627778,45,CAUCAIA DO ALTO,ASIA
231,OpenRouteService,10055,-20.489613,-47.42802,1.0,45,CAUCAIA DO ALTO,ASIA
232,TomTom,10055,-23.68788,-47.02405,7.4592003822,45,CAUCAIA DO ALTO,ASIA
233,TomTom,10056,-23.68463,-47.02383,16.3349876404,405,CAUCAIA DO ALTO,AVENIDA INOCENCIO PIRES DE OLIVEIRA
234,MapBox,10056,-23.684708,-47.024219,0.801728,405,CAUCAIA DO ALTO,AVENIDA INOCENCIO PIRES DE OLIVEIRA
235,OpenRouteService,10056,-23.626201,-46.938771,0.6,405,CAUCAIA DO ALTO,AVENIDA INOCENCIO PIRES DE OLIVEIRA
