number,street,city,latGold,lonGold,geoapi_id,request_id,lat,long,accuracy,public_place
75,RUA FILOMENA BELMONT,SAO PAULO,-23.907963,-46.706575,TomTom,10198,-23.51858,-47.13102,13.2582740784,RUA FILOMENA BELMONT
75,RUA FILOMENA BELMONT,SAO PAULO,-23.907963,-46.706575,OpenRouteService,10198,-23.570533,-46.663713,0.6,RUA FILOMENA BELMONT
75,RUA FILOMENA BELMONT,SAO PAULO,-23.907963,-46.706575,Google,10198,-23.9081459,-46.707251,,RUA FILOMENA BELMONT
1693,ESTRADA GRANJA SAIKI,SAO PAULO,-23.863568,-46.711608,MapBox,10199,-23.5655674,-46.5493988,0.577037,ESTRADA GRANJA SAIKI
1693,ESTRADA GRANJA SAIKI,SAO PAULO,-23.863568,-46.711608,TomTom,10199,-23.54143,-46.26409,9.936879158,ESTRADA GRANJA SAIKI
1693,ESTRADA GRANJA SAIKI,SAO PAULO,-23.863568,-46.711608,Google,10199,-23.7008162,-46.6301631,,ESTRADA GRANJA SAIKI
1693,ESTRADA GRANJA SAIKI,SAO PAULO,-23.863568,-46.711608,OpenRouteService,10199,-23.570533,-46.663713,0.6,ESTRADA GRANJA SAIKI
43,ARUEIRA,SAO PAULO,-23.860039,-46.713653,OpenRouteService,10200,-23.570533,-46.663713,0.6,ARUEIRA
43,ARUEIRA,SAO PAULO,-23.860039,-46.713653,MapBox,10200,-23.554133,-46.442457,0.762685,ARUEIRA
43,ARUEIRA,SAO PAULO,-23.860039,-46.713653,Google,10200,-23.8617706,-46.7132163,,ARUEIRA
43,ARUEIRA,SAO PAULO,-23.860039,-46.713653,TomTom,10200,-23.85859,-46.71367,9.5448856354,ARUEIRA
1,BEIJAFLOR,SAO PAULO,-23.859645,-46.713098,MapBox,10201,-22.7469169,-45.6160452,0.582593,BEIJAFLOR
1,BEIJAFLOR,SAO PAULO,-23.859645,-46.713098,OpenRouteService,10201,-23.570533,-46.663713,0.6,BEIJAFLOR
1,BEIJAFLOR,SAO PAULO,-23.859645,-46.713098,TomTom,10201,-23.64286,-46.44463,9.6024246216,BEIJAFLOR
1,BEIJAFLOR,SAO PAULO,-23.859645,-46.713098,Google,10201,-23.8614856,-46.7126122,,BEIJAFLOR
SN,RUA JANE VANINE CAPOZI,SAO PAULO,-23.86868,-46.679316,MapBox,10202,-23.8707743,-46.6764965,0.752346,RUA JANE VANINE CAPOZI
SN,RUA JANE VANINE CAPOZI,SAO PAULO,-23.86868,-46.679316,Google,10202,-23.8706162,-46.6768627,,RUA JANE VANINE CAPOZI
SN,RUA JANE VANINE CAPOZI,SAO PAULO,-23.86868,-46.679316,TomTom,10202,-23.87082,-46.67657,14.742562294,RUA JANE VANINE CAPOZI
SN,RUA JANE VANINE CAPOZI,SAO PAULO,-23.86868,-46.679316,OpenRouteService,10202,-23.870566,-46.67688,0.8,RUA JANE VANINE CAPOZI
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,OpenRouteService,10203,-23.870566,-46.67688,0.8,JANE VANINE CAPOZI
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,Google,10203,-23.8708601,-46.6766266,,JANE VANINE CAPOZI
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,MapBox,10203,-23.870172,-46.677333,0.795556,JANE VANINE CAPOZI
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,TomTom,10287,-23.73944,-46.79344,12.0475168228,PLINIO DIAS
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,OpenRouteService,10287,-23.570533,-46.663713,0.6,PLINIO DIAS
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,Google,10287,-23.7374351,-46.7959792,,PLINIO DIAS
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,MapBox,10287,-23.4975329,-46.3755491,0.660635,PLINIO DIAS
SN,HUMBERTO MARCAL,SAO PAULO,-23.738636,-46.793678,Google,10288,-23.7380638,-46.7938903,,HUMBERTO MARCAL
SN,HUMBERTO MARCAL,SAO PAULO,-23.738636,-46.793678,MapBox,10288,-23.7385593,-46.7934913,0.724127,HUMBERTO MARCAL
SN,HUMBERTO MARCAL,SAO PAULO,-23.738636,-46.793678,TomTom,10288,-23.73831,-46.79374,10.3078556061,HUMBERTO MARCAL
SN,HUMBERTO MARCAL,SAO PAULO,-23.738636,-46.793678,OpenRouteService,10288,-23.739381,-46.793161,0.8,HUMBERTO MARCAL
S/N,AVENIDA JOSE ESTIMA FILHO,SAO PAULO,-23.731312,-46.792751,OpenRouteService,10290,-23.734714,-46.794788,0.8,AVENIDA JOSE ESTIMA FILHO
S/N,AVENIDA JOSE ESTIMA FILHO,SAO PAULO,-23.731312,-46.792751,MapBox,10290,-23.7289833,-46.7912267,0.717778,AVENIDA JOSE ESTIMA FILHO
S/N,AVENIDA JOSE ESTIMA FILHO,SAO PAULO,-23.731312,-46.792751,Google,10290,-23.7286258,-46.7907452,,AVENIDA JOSE ESTIMA FILHO
S/N,AVENIDA JOSE ESTIMA FILHO,SAO PAULO,-23.731312,-46.792751,TomTom,10290,-23.72816,-46.79031,16.6104679108,AVENIDA JOSE ESTIMA FILHO
      1754,LUAR DO SERTAO,SAO PAULO,-23.691275,-46.798242,OpenRouteService,10458,-20.489613,-47.42802,1.0,LUAR DO SERTAO
      1754,LUAR DO SERTAO,SAO PAULO,-23.691275,-46.798242,Google,10458,-23.6908812,-46.798545,,LUAR DO SERTAO
      1754,LUAR DO SERTAO,SAO PAULO,-23.691275,-46.798242,MapBox,10458,-23.0135302,-46.9772288,0.638148,LUAR DO SERTAO
      1039,PEROBEIRAS,SAO PAULO,-23.69251,-46.796835,Google,10459,-23.6929175,-46.79673289999999,,PEROBEIRAS
      1039,PEROBEIRAS,SAO PAULO,-23.69251,-46.796835,OpenRouteService,10459,-23.690226,-46.796511,1.0,PEROBEIRAS
      1039,PEROBEIRAS,SAO PAULO,-23.69251,-46.796835,MapBox,10459,-23.6893253,-46.7977345,0.651852,PEROBEIRAS
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,Google,10460,-23.693093,-46.7955523,,PEROBEIRAS
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,OpenRouteService,10460,-20.489613,-47.42802,1.0,PEROBEIRAS
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,MapBox,10460,-23.6893253,-46.7977345,0.651852,PEROBEIRAS
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,TomTom,10460,-23.69297,-46.79564,9.62931633,PEROBEIRAS
      1422,PEROBEIRAS,SAO PAULO,-23.689413,-46.797609,OpenRouteService,10483,-23.690226,-46.796511,1.0,PEROBEIRAS
      1422,PEROBEIRAS,SAO PAULO,-23.689413,-46.797609,MapBox,10483,-23.6893253,-46.7977345,0.651852,PEROBEIRAS
      1422,PEROBEIRAS,SAO PAULO,-23.689413,-46.797609,Google,10483,-23.6893241,-46.7974444,,PEROBEIRAS
400,RUA FLANDRES,SAO PAULO,-23.686071,-46.800755,Google,10484,-23.6876378,-46.7977257,,RUA FLANDRES
400,RUA FLANDRES,SAO PAULO,-23.686071,-46.800755,OpenRouteService,10484,-23.687649,-46.7998,0.8,RUA FLANDRES
400,RUA FLANDRES,SAO PAULO,-23.686071,-46.800755,TomTom,10484,-23.68763,-46.7976,12.0984487534,RUA FLANDRES
400,RUA FLANDRES,SAO PAULO,-23.686071,-46.800755,MapBox,10484,-23.687206,-46.797996,0.787619,RUA FLANDRES
9950,EST ITAPECERICA DE,SAO PAULO,-23.68553,-46.80068,Google,10485,-23.6606104,-46.7681513,,EST ITAPECERICA DE
9950,EST ITAPECERICA DE,SAO PAULO,-23.68553,-46.80068,OpenRouteService,10485,-22.154376,-48.428808,1.0,EST ITAPECERICA DE
9950,EST ITAPECERICA DE,SAO PAULO,-23.68553,-46.80068,TomTom,10485,-23.67664,-46.79346,13.4289979935,EST ITAPECERICA DE
9950,EST ITAPECERICA DE,SAO PAULO,-23.68553,-46.80068,MapBox,10485,-23.677014,-46.793146,0.732361,EST ITAPECERICA DE
915,AVENIDA FEITICO DONA VILA,SAO PAULO,-23.686756,-46.799797,OpenRouteService,10486,-23.570533,-46.663713,0.6,AVENIDA FEITICO DONA VILA
915,AVENIDA FEITICO DONA VILA,SAO PAULO,-23.686756,-46.799797,TomTom,10486,-23.68662,-46.79994,13.8668308258,AVENIDA FEITICO DONA VILA
915,AVENIDA FEITICO DONA VILA,SAO PAULO,-23.686756,-46.799797,MapBox,10486,-23.4785995,-46.3823849,0.604198,AVENIDA FEITICO DONA VILA
915,AVENIDA FEITICO DONA VILA,SAO PAULO,-23.686756,-46.799797,Google,10486,-23.6869786,-46.7997431,,AVENIDA FEITICO DONA VILA
877,FEITICO DONA VILA,SAO PAULO,-23.686951,-46.799518,TomTom,10487,-23.68691,-46.79963,11.4994335175,FEITICO DONA VILA
877,FEITICO DONA VILA,SAO PAULO,-23.686951,-46.799518,MapBox,10487,-23.4785995,-46.3823849,0.628889,FEITICO DONA VILA
877,FEITICO DONA VILA,SAO PAULO,-23.686951,-46.799518,Google,10487,-23.6861882,-46.7999254,,FEITICO DONA VILA
877,FEITICO DONA VILA,SAO PAULO,-23.686951,-46.799518,Google,10488,-23.6861882,-46.7999254,,FEITICO DONA VILA
877,FEITICO DONA VILA,SAO PAULO,-23.686951,-46.799518,TomTom,10488,-23.68691,-46.79963,11.4994335175,FEITICO DONA VILA
877,FEITICO DONA VILA,SAO PAULO,-23.686951,-46.799518,MapBox,10488,-23.4785995,-46.3823849,0.628889,FEITICO DONA VILA
      8845,ITAPECERICA,SAO PAULO,-23.684549,-46.79945,OpenRouteService,10489,-23.731088,-46.704983,0.8,ITAPECERICA
      8845,ITAPECERICA,SAO PAULO,-23.684549,-46.79945,MapBox,10489,-23.6665239,-46.6575373,0.66037,ITAPECERICA
      8845,ITAPECERICA,SAO PAULO,-23.684549,-46.79945,Google,10489,-23.6842854,-46.79844569999999,,ITAPECERICA
130,TRIBO DOS ACRAS,SAO PAULO,-23.683102,-46.798308,OpenRouteService,10490,-23.570533,-46.663713,0.6,TRIBO DOS ACRAS
130,TRIBO DOS ACRAS,SAO PAULO,-23.683102,-46.798308,TomTom,10490,-23.68381,-46.79931,14.211019516,TRIBO DOS ACRAS
130,TRIBO DOS ACRAS,SAO PAULO,-23.683102,-46.798308,MapBox,10490,-23.6834793,-46.7988136,0.678889,TRIBO DOS ACRAS
130,TRIBO DOS ACRAS,SAO PAULO,-23.683102,-46.798308,Google,10490,-23.6838973,-46.7993141,,TRIBO DOS ACRAS
360,PEROBEIRAS,SAO PAULO,-23.69002,-46.796576,MapBox,10491,-23.6893253,-46.7977345,0.651852,PEROBEIRAS
360,PEROBEIRAS,SAO PAULO,-23.69002,-46.796576,OpenRouteService,10491,-20.489613,-47.42802,1.0,PEROBEIRAS
360,PEROBEIRAS,SAO PAULO,-23.69002,-46.796576,Google,10491,-23.6899391,-46.7967364,,PEROBEIRAS
360,PEROBEIRAS,SAO PAULO,-23.69002,-46.796576,TomTom,10491,-23.68937,-46.7967,9.62931633,PEROBEIRAS
       307,LUAR DO SERTAO,SAO PAULO,-23.688626,-46.792952,MapBox,10492,-23.68805,-46.792466,0.795556,LUAR DO SERTAO
       307,LUAR DO SERTAO,SAO PAULO,-23.688626,-46.792952,Google,10492,-23.6887038,-46.7930931,,LUAR DO SERTAO
       307,LUAR DO SERTAO,SAO PAULO,-23.688626,-46.792952,OpenRouteService,10492,-23.570533,-46.663713,0.6,LUAR DO SERTAO
491-A,RUA DONA MOENDA,SAO PAULO,-23.683663,-46.795464,TomTom,10493,-23.57952,-46.5588,13.9194326401,RUA DONA MOENDA
491-A,RUA DONA MOENDA,SAO PAULO,-23.683663,-46.795464,MapBox,10493,-23.643054,-46.599507,0.606049,RUA DONA MOENDA
491-A,RUA DONA MOENDA,SAO PAULO,-23.683663,-46.795464,Google,10493,-23.6850715,-46.79493859999999,,RUA DONA MOENDA
491-A,RUA DONA MOENDA,SAO PAULO,-23.683663,-46.795464,OpenRouteService,10493,-23.570533,-46.663713,0.6,RUA DONA MOENDA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,Google,10494,-23.686523,-46.794625,,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,MapBox,10494,-23.4785995,-46.3823849,0.628889,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,TomTom,10494,-23.68617,-46.79331,11.6341915131,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,Google,10495,-23.686523,-46.794625,,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,MapBox,10495,-23.4785995,-46.3823849,0.628889,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,TomTom,10495,-23.68617,-46.79331,11.6341915131,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,Google,10496,-23.686523,-46.794625,,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,MapBox,10496,-23.4785995,-46.3823849,0.628889,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,TomTom,10496,-23.68617,-46.79331,11.6341915131,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,TomTom,10497,-23.68617,-46.79331,11.6341915131,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,MapBox,10497,-23.4785995,-46.3823849,0.628889,FEITICO DONA VILA
399,FEITICO DONA VILA,SAO PAULO,-23.686648,-46.794558,Google,10497,-23.686523,-46.794625,,FEITICO DONA VILA
         7,LUAR DO SERTAO,SAO PAULO,-23.686362,-46.79355,MapBox,10498,-23.687947,-46.800487,0.795556,LUAR DO SERTAO
         7,LUAR DO SERTAO,SAO PAULO,-23.686362,-46.79355,Google,10498,-23.6866058,-46.7927898,,LUAR DO SERTAO
         7,LUAR DO SERTAO,SAO PAULO,-23.686362,-46.79355,OpenRouteService,10498,-23.570533,-46.663713,0.6,LUAR DO SERTAO
         9,LUAR DO SERTAO,SAO PAULO,-23.686367,-46.793532,MapBox,10499,-23.687947,-46.800487,0.795556,LUAR DO SERTAO
         9,LUAR DO SERTAO,SAO PAULO,-23.686367,-46.793532,Google,10499,-23.6863811,-46.7935658,,LUAR DO SERTAO
         9,LUAR DO SERTAO,SAO PAULO,-23.686367,-46.793532,OpenRouteService,10499,-23.570533,-46.663713,0.6,LUAR DO SERTAO
12,ACAFRAODATERRA,SAO PAULO,-23.679277,-46.798012,TomTom,10500,-12.86275,-38.46337,8.2672328949,ACAFRAODATERRA
12,ACAFRAODATERRA,SAO PAULO,-23.679277,-46.798012,Google,10500,-23.6792179,-46.7982929,,ACAFRAODATERRA
12,ACAFRAODATERRA,SAO PAULO,-23.679277,-46.798012,MapBox,10500,-22.7469169,-45.6160452,0.582593,ACAFRAODATERRA
12,ACAFRAODATERRA,SAO PAULO,-23.679277,-46.798012,OpenRouteService,10500,-20.489613,-47.42802,1.0,ACAFRAODATERRA
387,MOACYR DO AMARAL SANTOS MINISTRO,SAO PAULO,-23.677538,-46.798533,OpenRouteService,10501,-23.570533,-46.663713,0.6,MOACYR DO AMARAL SANTOS MINISTRO
387,MOACYR DO AMARAL SANTOS MINISTRO,SAO PAULO,-23.677538,-46.798533,Google,10501,-23.6786407,-46.7975462,,MOACYR DO AMARAL SANTOS MINISTRO
387,MOACYR DO AMARAL SANTOS MINISTRO,SAO PAULO,-23.677538,-46.798533,MapBox,10501,-23.6589487,-46.6061738,0.613333,MOACYR DO AMARAL SANTOS MINISTRO
387,MOACYR DO AMARAL SANTOS MINISTRO,SAO PAULO,-23.677538,-46.798533,TomTom,10501,-23.67755,-46.79856,18.2369422913,MOACYR DO AMARAL SANTOS MINISTRO
405,GINGADINHO,SAO PAULO,-23.680405,-46.795326,Google,10502,-23.6792386,-46.79505959999999,,GINGADINHO
405,GINGADINHO,SAO PAULO,-23.680405,-46.795326,TomTom,10502,-23.67921,-46.79516,9.6567392349,GINGADINHO
405,GINGADINHO,SAO PAULO,-23.680405,-46.795326,MapBox,10502,-23.6781189,-46.7933854,0.66037,GINGADINHO
405,GINGADINHO,SAO PAULO,-23.680405,-46.795326,OpenRouteService,10502,-20.489613,-47.42802,1.0,GINGADINHO
365,RUA GINGADINHO,SAO PAULO,-23.680113,-46.795224,Google,10503,-23.6787414,-46.7943221,,RUA GINGADINHO
365,RUA GINGADINHO,SAO PAULO,-23.680113,-46.795224,MapBox,10503,-23.6781189,-46.7933854,0.724127,RUA GINGADINHO
365,RUA GINGADINHO,SAO PAULO,-23.680113,-46.795224,OpenRouteService,10503,-23.68008,-46.795359,0.8,RUA GINGADINHO
365,RUA GINGADINHO,SAO PAULO,-23.680113,-46.795224,TomTom,10503,-23.67874,-46.7946,12.0984487534,RUA GINGADINHO
20,RUA CANTORIAS PAULISTAS,SAO PAULO,-23.679436,-46.79482,TomTom,10504,-23.68002,-46.79476,14.2824602127,RUA CANTORIAS PAULISTAS
20,RUA CANTORIAS PAULISTAS,SAO PAULO,-23.679436,-46.79482,MapBox,10504,-23.679913,-46.7947,0.788611,RUA CANTORIAS PAULISTAS
20,RUA CANTORIAS PAULISTAS,SAO PAULO,-23.679436,-46.79482,OpenRouteService,10504,-23.570533,-46.663713,0.6,RUA CANTORIAS PAULISTAS
20,RUA CANTORIAS PAULISTAS,SAO PAULO,-23.679436,-46.79482,Google,10504,-23.6803314,-46.7949839,,RUA CANTORIAS PAULISTAS
51,ACARIRANA,SAO PAULO,-23.67843,-46.796784,TomTom,10505,-23.678,-46.79781,9.6567392349,ACARIRANA
51,ACARIRANA,SAO PAULO,-23.67843,-46.796784,MapBox,10505,-23.677792,-46.79787,0.71963,ACARIRANA
51,ACARIRANA,SAO PAULO,-23.67843,-46.796784,OpenRouteService,10505,-23.570533,-46.663713,0.6,ACARIRANA
51,ACARIRANA,SAO PAULO,-23.67843,-46.796784,Google,10505,-23.6777776,-46.7980525,,ACARIRANA
255,ANUMDOURADO,SAO PAULO,-23.677641,-46.795812,TomTom,10506,-23.67689,-46.7956,9.4911994934,ANUMDOURADO
255,ANUMDOURADO,SAO PAULO,-23.677641,-46.795812,OpenRouteService,10506,-23.570533,-46.663713,0.6,ANUMDOURADO
255,ANUMDOURADO,SAO PAULO,-23.677641,-46.795812,Google,10506,-23.6769888,-46.79583479999999,,ANUMDOURADO
255,ANUMDOURADO,SAO PAULO,-23.677641,-46.795812,MapBox,10506,-22.7469169,-45.6160452,0.582593,ANUMDOURADO
350,ANDORINHADOSBEIRAIS,SAO PAULO,-23.676032,-46.795273,Google,10507,-23.675092,-46.7956914,,ANDORINHADOSBEIRAIS
350,ANDORINHADOSBEIRAIS,SAO PAULO,-23.676032,-46.795273,TomTom,10507,-23.60541,-46.70744,8.3093938828,ANDORINHADOSBEIRAIS
350,ANDORINHADOSBEIRAIS,SAO PAULO,-23.676032,-46.795273,MapBox,10507,-22.7469169,-45.6160452,0.582593,ANDORINHADOSBEIRAIS
350,ANDORINHADOSBEIRAIS,SAO PAULO,-23.676032,-46.795273,OpenRouteService,10507,-20.489613,-47.42802,1.0,ANDORINHADOSBEIRAIS
       503,ANDORINHADOSBEIRAIS,SAO PAULO,-23.677187,-46.794195,Google,10508,-23.6742463,-46.7967816,,ANDORINHADOSBEIRAIS
       503,ANDORINHADOSBEIRAIS,SAO PAULO,-23.677187,-46.794195,OpenRouteService,10508,-20.489613,-47.42802,1.0,ANDORINHADOSBEIRAIS
       503,ANDORINHADOSBEIRAIS,SAO PAULO,-23.677187,-46.794195,MapBox,10508,-22.7469169,-45.6160452,0.582593,ANDORINHADOSBEIRAIS
S N,ANDORINHADOSBEIRAIS,SAO PAULO,-23.677128,-46.794137,Google,10509,-23.676032,-46.7951163,,ANDORINHADOSBEIRAIS
S N,ANDORINHADOSBEIRAIS,SAO PAULO,-23.677128,-46.794137,MapBox,10509,-23.4784143,-46.6076177,0.724127,ANDORINHADOSBEIRAIS
S N,ANDORINHADOSBEIRAIS,SAO PAULO,-23.677128,-46.794137,OpenRouteService,10509,-23.478565,-46.607785,0.8,ANDORINHADOSBEIRAIS
S N,ANDORINHADOSBEIRAIS,SAO PAULO,-23.677128,-46.794137,TomTom,10509,-23.54867,-46.63825,10.6808586121,ANDORINHADOSBEIRAIS
198,TRAVESSA SETEMBRO DE 1983,SAO PAULO,-23.674202,-46.79625,Google,10523,-23.6736989,-46.7965202,,TRAVESSA SETEMBRO DE 1983
198,TRAVESSA SETEMBRO DE 1983,SAO PAULO,-23.674202,-46.79625,OpenRouteService,10523,-23.570533,-46.663713,0.6,TRAVESSA SETEMBRO DE 1983
198,TRAVESSA SETEMBRO DE 1983,SAO PAULO,-23.674202,-46.79625,MapBox,10523,-23.5595745,-46.7357736,0.566543,TRAVESSA SETEMBRO DE 1983
198,TRAVESSA SETEMBRO DE 1983,SAO PAULO,-23.674202,-46.79625,TomTom,10523,-23.67375,-46.79629,16.4244728088,TRAVESSA SETEMBRO DE 1983
127,ANTONIO FORLENZA,SAO PAULO,-23.674156,-46.793212,OpenRouteService,10524,-23.570533,-46.663713,0.6,ANTONIO FORLENZA
127,ANTONIO FORLENZA,SAO PAULO,-23.674156,-46.793212,TomTom,10524,-23.67559,-46.79311,12.0475168228,ANTONIO FORLENZA
127,ANTONIO FORLENZA,SAO PAULO,-23.674156,-46.793212,Google,10524,-23.6757286,-46.79332,,ANTONIO FORLENZA
127,ANTONIO FORLENZA,SAO PAULO,-23.674156,-46.793212,MapBox,10524,-23.6765374,-46.7927965,0.670952,ANTONIO FORLENZA
691,RUA ANTONIO JOSE BENTES,SAO PAULO,-23.662801,-46.793612,OpenRouteService,10529,-23.665031,-46.790248,0.8,RUA ANTONIO JOSE BENTES
691,RUA ANTONIO JOSE BENTES,SAO PAULO,-23.662801,-46.793612,MapBox,10529,-23.665008,-46.790316,0.801728,RUA ANTONIO JOSE BENTES
691,RUA ANTONIO JOSE BENTES,SAO PAULO,-23.662801,-46.793612,Google,10529,-23.6654381,-46.7885429,,RUA ANTONIO JOSE BENTES
691,RUA ANTONIO JOSE BENTES,SAO PAULO,-23.662801,-46.793612,TomTom,10529,-23.66525,-46.78908,16.2342300415,RUA ANTONIO JOSE BENTES
690,ANTONIO JOSE BENTES,SAO PAULO,-23.662793,-46.793437,Google,10530,-23.6653737,-46.7896332,,ANTONIO JOSE BENTES
690,ANTONIO JOSE BENTES,SAO PAULO,-23.662793,-46.793437,TomTom,10530,-23.66525,-46.78959,14.211019516,ANTONIO JOSE BENTES
690,ANTONIO JOSE BENTES,SAO PAULO,-23.662793,-46.793437,OpenRouteService,10530,-23.570533,-46.663713,0.6,ANTONIO JOSE BENTES
690,ANTONIO JOSE BENTES,SAO PAULO,-23.662793,-46.793437,MapBox,10530,-23.66528,-46.78921,0.795556,ANTONIO JOSE BENTES
100,BICCI DI LORENZO,SAO PAULO,-23.659613,-46.793944,MapBox,10533,-23.6612046,-46.7941116,0.730451,BICCI DI LORENZO
100,BICCI DI LORENZO,SAO PAULO,-23.659613,-46.793944,OpenRouteService,10533,-23.659845,-46.793904,1.0,BICCI DI LORENZO
100,BICCI DI LORENZO,SAO PAULO,-23.659613,-46.793944,TomTom,10533,-23.65982,-46.79394,14.211019516,BICCI DI LORENZO
100,BICCI DI LORENZO,SAO PAULO,-23.659613,-46.793944,Google,10533,-23.6597476,-46.7941047,,BICCI DI LORENZO
"KM19,5",ROD RAPOSO TAVARES,SAO PAULO,-23.593369,-46.805486,TomTom,10687,-23.562,-47.0771,13.0497503281,ROD RAPOSO TAVARES
"KM19,5",ROD RAPOSO TAVARES,SAO PAULO,-23.593369,-46.805486,MapBox,10687,-23.6223753,-46.6887471,0.634444,ROD RAPOSO TAVARES
"KM19,5",ROD RAPOSO TAVARES,SAO PAULO,-23.593369,-46.805486,Google,10687,-23.5891658,-46.7924677,,ROD RAPOSO TAVARES
"KM19,5",ROD RAPOSO TAVARES,SAO PAULO,-23.593369,-46.805486,OpenRouteService,10687,-23.570533,-46.663713,0.6,ROD RAPOSO TAVARES
"KM19,5",ROD RAPOSO TAVARES,SAO PAULO,-23.593369,-46.805486,MapBox,10689,-23.6223753,-46.6887471,0.634444,ROD RAPOSO TAVARES
"KM19,5",ROD RAPOSO TAVARES,SAO PAULO,-23.593369,-46.805486,TomTom,10689,-23.562,-47.0771,13.0497503281,ROD RAPOSO TAVARES
"KM19,5",ROD RAPOSO TAVARES,SAO PAULO,-23.593369,-46.805486,OpenRouteService,10689,-23.570533,-46.663713,0.6,ROD RAPOSO TAVARES
"KM19,5",ROD RAPOSO TAVARES,SAO PAULO,-23.593369,-46.805486,Google,10689,-23.5891658,-46.7924677,,ROD RAPOSO TAVARES
